Name;Gender;Email;Weight;HeightFeet;HeightInches;Lead source
Lord Varys;M;lord.varys@fantasy.com;187;6;2;Facebook
Darth Vader;M;darth.vader@fantasy.com;242;7;1;Facebook
Commander Shephard;M;commander.shephard@fantasy.com;185;6;4;Newsletter
George Clooney;M;george.clooney@fantasy.com;170;5;7;Facebook
Moff Gideon;M;moff.gideon@fantasy.com;177;5;8;Newsletter
Lara Croft;F;lara.vroft@fantasy.com;132;5;6;Facebook
Marcus Fenix;M;marcus.fenix@fantasy.com;220;6;6;Phone
Johnny Silverhand;M;johnny.silverhand@fantasy.com;179;6;2;Facebook
Allen Ripley;F;allen.ripley@fantasy.com;141;5;2;Facebook
Samus Aran;F;samus.aram@fantasy.com;150;5;8;Phone
